#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 04 16 15 190  3.6 99.0 99.00 99.00 99.00 999 9999.0  12.4   5.4  10.5 99.0 99.00
2023 01 04 16 45 200  4.6 99.0 99.00 99.00 99.00 999 9999.0  12.1   5.5   9.8 99.0 99.00
2023 01 04 17 15 200  4.1 99.0 99.00 99.00 99.00 999 9999.0  12.1   5.6  10.1 99.0 99.00
2023 01 04 17 45 200  3.6 99.0 99.00 99.00 99.00 999 9999.0  12.8   5.6  10.6 99.0 99.00
2023 01 04 18 15 210  3.6 99.0 99.00 99.00 99.00 999 9999.0  13.2   5.7  10.7 99.0 99.00
2023 01 04 18 45 200  3.6 99.0 99.00 99.00 99.00 999 9999.0  13.3   5.7  10.5 99.0 99.00
2023 01 04 19 15 190  4.1 99.0 99.00 99.00 99.00 999 9999.0  14.1   5.5  11.2 99.0 99.00
2023 01 04 19 45 200  3.6 99.0 99.00 99.00 99.00 999 9999.0  13.4   5.7  10.8 99.0 99.00
2023 01 04 20 15 220  1.5 99.0 99.00 99.00 99.00 999 9999.0  12.7   5.7  10.6 99.0 99.00
2023 01 04 20 45   0  0.0 99.0 99.00 99.00 99.00 999 9999.0  11.8   5.6   9.4 99.0 99.00
2023 01 04 21 15 330  1.0 99.0 99.00 99.00 99.00 999 9999.0  11.7   5.7  10.1 99.0 99.00
2023 01 04 21 45  20  2.1 99.0 99.00 99.00 99.00 999 9999.0  12.2   5.6  11.1 99.0 99.00
2023 01 04 22 15 120  1.5 99.0 99.00 99.00 99.00 999 9999.0  10.2   5.6   8.6 99.0 99.00
2023 01 04 22 45  50  3.6 99.0 99.00 99.00 99.00 999 9999.0   8.3   5.6   7.0 99.0 99.00
2023 01 04 23 15  20  5.1 99.0 99.00 99.00 99.00 999 9999.0   8.0   5.7   6.8 99.0 99.00
2023 01 04 23 45  30  5.7 99.0 99.00 99.00 99.00 999 9999.0   7.3   5.7   6.3 99.0 99.00
2023 01 05 00 15  60  4.1 99.0 99.00 99.00 99.00 999 9999.0   7.4   5.5   6.5 99.0 99.00
2023 01 05 00 45  50  6.2 99.0 99.00 99.00 99.00 999 9999.0   7.1   5.6   6.3 99.0 99.00
2023 01 05 01 15  60  6.7 99.0 99.00 99.00 99.00 999 9999.0   6.8   5.6   6.0 99.0 99.00
2023 01 05 01 45  60  6.7 99.0 99.00 99.00 99.00 999 9999.0   6.7   5.6   5.9 99.0 99.00
2023 01 05 02 15  60  7.2 99.0 99.00 99.00 99.00 999 9999.0   6.7   5.6   5.9 99.0 99.00
2023 01 05 02 45  60  7.2 99.0 99.00 99.00 99.00 999 9999.0   6.6   5.6   5.8 99.0 99.00
2023 01 05 03 15  60  6.7 99.0 99.00 99.00 99.00 999 9999.0   6.5   5.6   5.8 99.0 99.00
2023 01 05 03 45  50  7.2 99.0 99.00 99.00 99.00 999 9999.0   6.5   5.6   5.9 99.0 99.00
2023 01 05 04 15  60  7.2 99.0 99.00 99.00 99.00 999 9999.0   6.6   5.5   6.0 99.0 99.00
2023 01 05 04 45  60  5.7 99.0 99.00 99.00 99.00 999 9999.0   6.6   5.4   6.0 99.0 99.00
2023 01 05 05 15  60  5.7 99.0 99.00 99.00 99.00 999 9999.0   6.5   5.5   5.9 99.0 99.00
2023 01 05 05 45  70  5.1 99.0 99.00 99.00 99.00 999 9999.0   6.4   5.5   5.8 99.0 99.00
2023 01 05 06 15  50  4.1 99.0 99.00 99.00 99.00 999 9999.0   6.3   5.5   5.7 99.0 99.00
2023 01 05 06 45  40  4.1 99.0 99.00 99.00 99.00 999 9999.0   6.4   5.4   5.8 99.0 99.00
2023 01 05 07 15  30  3.6 99.0 99.00 99.00 99.00 999 9999.0   6.3   5.4   5.8 99.0 99.00
2023 01 05 07 45  30  4.1 99.0 99.00 99.00 99.00 999 9999.0   6.4   5.4   5.8 99.0 99.00
2023 01 05 08 15  50  4.6 99.0 99.00 99.00 99.00 999 9999.0   6.7   5.5   6.1 99.0 99.00
2023 01 05 08 45  60  3.6 99.0 99.00 99.00 99.00 999 9999.0   6.8   5.6   6.2 99.0 99.00
2023 01 05 09 15 100  2.6 99.0 99.00 99.00 99.00 999 9999.0   6.5   5.6   5.9 99.0 99.00
2023 01 05 09 45  50  1.5 99.0 99.00 99.00 99.00 999 9999.0   6.5   5.6   6.0 99.0 99.00
2023 01 05 10 15 350  2.1 99.0 99.00 99.00 99.00 999 9999.0   6.4   5.6   5.8 99.0 99.00
2023 01 05 10 45  10  3.1 99.0 99.00 99.00 99.00 999 9999.0   6.7   5.6   6.1 99.0 99.00
2023 01 05 11 15  30  3.1 99.0 99.00 99.00 99.00 999 9999.0   6.7   5.5   6.2 99.0 99.00
2023 01 05 11 45  20  3.1 99.0 99.00 99.00 99.00 999 9999.0   6.6   5.5   6.0 99.0 99.00
2023 01 05 12 15  50  2.6 99.0 99.00 99.00 99.00 999 9999.0   6.5   5.6   5.9 99.0 99.00
2023 01 05 12 45  70  2.6 99.0 99.00 99.00 99.00 999 9999.0   7.1   5.6   6.6 99.0 99.00
2023 01 05 13 15  80  3.6 99.0 99.00 99.00 99.00 999 9999.0   7.2   5.5   6.7 99.0 99.00
2023 01 05 13 45  70  4.1 99.0 99.00 99.00 99.00 999 9999.0   7.0   5.5   6.4 99.0 99.00
2023 01 05 14 15  70  5.1 99.0 99.00 99.00 99.00 999 9999.0   6.9   5.5   6.3 99.0 99.00
